Sorted by K values
""
""
1 neighbors. 
,MAP,MAR,F1 score
1,0.4000000000000001,0.016415807701754374,0.031537338205012075
10,0.3020000000000002,0.09393411351163976,0.14329708561311547
100,0.31180000000000035,1.0029913964764707,0.47571457838781267
20,0.35400000000000026,0.20382689931005246,0.2586993292901546
200,0.32209999999999267,1.9905357238075156,0.5544769113769448
3,0.29333333333333306,0.02958827075478133,0.053754384830201174
30,0.28133333333333393,0.24440465826426175,0.26157203128020456
300,0.320466666666665,2.9935911655154097,0.5789556071469265
5,0.2920000000000002,0.05427939979449881,0.091542175188011
50,0.3124000000000038,0.5001332677786061,0.3845790419909538
7,0.2628571428571432,0.053361911096220634,0.08871419550966139
