Sorted by recommended artist values
""
""
100 recommended artists. 
,MAP,MAR,F1 score
1,1.8320000000000014,32.90630553656868,3.4707710011666
2,1.8120000000000014,32.734703804966955,3.4339185370311425
5,1.7540000000000013,31.755483785220616,3.324379385625937
10,1.7080000000000013,30.897072226019578,3.2370545905387123
20,1.6720000000000013,30.369021417179294,3.1694996953061514
50,1.7240000000000013,30.65653831548567,3.264422076060511
""
200 recommended artists. 
,MAP,MAR,F1 score
1,1.5419999999999963,59.467953216374376,3.006053242966197
2,1.5389999999999964,59.38119351408836,3.000241842536089
5,1.5359999999999965,59.221828434723285,2.9943377115087326
10,1.5049999999999972,57.84679273942441,2.9336745885690627
20,1.4619999999999964,55.98701716412252,2.8495881438704562
50,1.4659999999999958,55.755083542188885,2.856882373175766
""
10 recommended artists. 
,MAP,MAR,F1 score
1,1.9000000000000012,3.0423942431837148,2.3391695512842925
2,2.2000000000000015,3.3782733348522798,2.6646960055684805
5,2.0800000000000014,3.489804055593526,2.606480358440915
10,2.0000000000000013,3.3886420596946882,2.5153959176770297
20,1.8400000000000012,2.9605832763727475,2.269504730950899
50,2.0000000000000013,3.349919115971745,2.5046502897367833
""
300 recommended artists. 
,MAP,MAR,F1 score
1,1.2433333333333347,72.54196969697011,2.4447646153288063
2,1.2420000000000013,72.48863636363677,2.442156769666491
5,1.2406666666666677,72.38585858585903,2.4395208541351545
10,1.2306666666666672,71.72730158730198,2.419815169363299
20,1.215333333333334,71.10531746031782,2.389819824308309
50,1.2046666666666677,70.40666666666702,2.368802827609536
""
50 recommended artists. 
,MAP,MAR,F1 score
1,1.9480000000000015,16.42940874914558,3.4830251294077135
2,1.9400000000000015,16.328823953823942,3.4679756672336643
5,1.8680000000000014,16.045484164957834,3.3464137008895283
10,1.8360000000000014,16.07187552213866,3.295529212515164
20,1.7640000000000013,16.162237791448305,3.1808333456020077
50,1.8520000000000014,15.915108225108208,3.3179040797699546
""
20 recommended artists. 
,MAP,MAR,F1 score
1,1.8900000000000015,6.194982152350571,2.8963616857307555
2,2.0000000000000013,6.50125199362041,3.0589621380470287
5,1.9300000000000015,6.3872127287916705,2.9642912760652336
10,1.8700000000000014,6.302658920027335,2.884244233310474
20,1.8100000000000014,6.503215235057336,2.831833230015631
50,1.9500000000000015,6.33382813093339,2.9819461872221287
""
30 recommended artists. 
,MAP,MAR,F1 score
1,2.0400000000000014,10.09636515531251,3.39419334426036
2,2.0866666666666687,10.32141641983746,3.4715040906659214
5,2.073333333333334,10.784887597782324,3.4780343365581308
10,1.9333333333333342,10.155745044429244,3.2482940064888193
20,1.9200000000000004,10.407109820004543,3.241903600466401
50,2.020000000000001,10.016120604541642,3.3619742250737636
