key	value
503810	Moonface
24579	Reso
8199	Jackie Deshannon
2057	Pigface
309259	Sixx:A.M.
90125	Commix
122894	Avey Tare
8207	John Mayall & The Bluesbreakers
73744	Michel Petrucciani
45073	Interference
14357	Esbjörn Svensson Trio
71703	The Perishers
12316	Mahavishnu Orchestra
13996061	Seven Lions
30	Hole
33	Ani DiFranco
53282	Break
18469	Amon Düül II
208934	EF
374108	Bigbang
21170	Phats & Small
6190	Dexter Gordon
27888989	Rachel's
38960	Jeffrey Lewis
13797425	Pistol Annies
16434	Willie Dixon
53300	The Dresden Dolls
233708	Bachelors of Science
54	Phish
127031	Math and Physics Club
30776	The Elgins
10297	Luniz
245819	Room Eleven
103482	Uniting Nations
13953086	The Go-Betweens
305217	Delta Spirit
67	Burl Ives
68	Bing Crosby
74	George Winston
323659	The Dodos
70994	The 88
2125	The Dickies
73806	Albert Ammons
38992	Harmonia
4177	Mccoy Tyner
88146	Tilly and the Wall
303187	Au
34900	IAM
12375	Alan Menken
100411	The Chariot
35855	Set Fire to Flames
12380	Hank Mobley
45754	Seba
8287	Super Furry Animals
8292	Pandora
127077	Robert Glasper
184422	Manchester Orchestra
4436	Billy Cobham
508012	Male Bonding
202866	Yndi Halda
24457331	Ben l'Oncle Soul
237684	Jake Owen
10359	Zager & Evans
10943	Roberta Flack
57468	Teddybears
125	Hans Zimmer & James Newton Howard
69760	Israel Vibration
43142	Mimosa
2183	The Runaways
164204	Minsk
13953047	Ice MC
59532	Alexi Murdoch
129165	Mor ve Ötesi
97645	Ciara
366736	Laura
40469	Yob
8341	E-40
25510	Bishop Allen
153	Eiffel 65
10395	The Dining Rooms
13080736	La Sera
63649	Tactical Sekt
1229	Syd Barrett
42082	Odd Nosdam
7537	Benjamin Britten
28	The Dismemberment Plan
69802	Swan Lake
10412	Adam F
13777705	Dia Frampton
9144	Drive Like Jehu
180	Ricky Martin
129054	Phosphorescent
114872	Pzychobitch
8377	Art Pepper
186	Rosemary Clooney
284859	Nurses
233665	Yuksek
13786827	Karmin
63684	Brooke Fraser
11297	Penguin Cafe Orchestra
24451275	The School
206	Faith Hill
69840	Nellie McKay
2257	Kay Starr
1059	Harry Belafonte
212	Powerman 5000
12501	The Microphones
123094	El Ten Eleven
216	The Fresh & Onlys
102617	13 & God
6362	Pharoah Sanders
11123	Nick Lowe
6369	Morton Feldman
18658	My Morning Jacket
227	Mudhoney
196836	Grouper
49381	Patrick Park
6376	Kronos Quartet
69866	Jack White & Alicia Keys
444652	Cymbals Eat Guitars
12665641	Suuns
230781	Eric Church
14576	Keller Williams
10482	Johnny Mathis
244	Gordon Lightfoot
10485	Burning Spear
47350	Frog Eyes
12535	Van der Graaf Generator
249	Sonique
284922	Alix Perez
20732	Damien Jurado
456958	Schuyler Fisk
256	Lonestar
13095	Tristeza
259	Joe
24477957	Sir Simon Rattle
98689	Juicy J
352521	Jennifer Rostock
37591	The Hidden Cameras
10508	Spiritualized
270	The Aquabats
371189	Future Islands
272	Ben E. King
274	Blues Traveler
8467	Eddie Floyd
459028	Om Unit
12334	Tommy Emmanuel
279	Crazy Town
26513688	Richard O'Brien
283	Dave Matthews Band
285	Eagle-Eye Cherry
12577	Moby Grape
291	Ja Rule
6436	Coil
317733	The Airborne Toxic Event
2348	Freddie Hubbard
301	Stone Temple Pilots
8497	Jimmy Ruffin
114996	Gary Puckett & The Union Gap
252213	Winds of Plague
96569	Michael Gray
6460	Bette Midler
8510	Albert Collins
6467	Terry Riley
16708	Angela Lansbury
286774	Nadja
131400	Lo-Fi-Fnk
8521	The Dramatics
2378	Johnny Mercer
6475	Lee Morgan
216873	Joy Wants Eternity
2382	Marilyn Monroe
14333325	Destiny's Child
381020	Vivian Girls
6482	The Association
407892	Emily Wells
342	La Bouche
287460	Health
8539	Reba McEntire
184668	Stolen Babies
