key	value
163841	Mattafix
67589	PeterLicht
317449	Noisecontrollers
14129165	Love Inks
100366	Jupiter Jones
13075459	Sascha Braemer
13889557	Holograms
485400	Alligatoah
32530	R.A. the Rugged Man
20508	Jacob Miller
12958	Eumir Deodato
114024	The Receiving End Of Sirens
8228	Arthur Conley
10277	Move D
34854	Thea Gilmore
6183	Fairport Convention
8233	Irene Cara
10282	Throwing Muses
450604	Susan Boyle
81965	Claude-Michel Schönberg
14004573	In Dying Arms
8243	Fabrizio De André
13709	The Commitments
346170	Moto boy
116795	Sonic Boom Six
28732	Benediction
20542	Michelle Williams
63	Yanni
13920321	Allah-Las
14309445	Black Joe Lewis & The Honeybears
524359	Bare Noize
4169	Loleatta Holloway
24397898	Run the Jewels
8267	Lucy Pearl
501840	Bronze Radio Return
499799	Korallreven
151640	Evile
455345	BeardyMan
12378	Bobby Hutcherson
57437	Sun Kil Moon
20574	Teddy Thompson
346208	Barcelona
24673	DJ Zinc
127074	Moonbootica
24537188	Fantastic Mr Fox
13992037	Luciano
533907	John Grant
59502	Ногу Свело!
18545	Outlandish
101054	Nils Lofgren
12407	Barbara
10360	Anita Ward
180346	Lang Lang
96379	Yehudi Menuhin
551038	The Damned Things
4227	Blue
108677	Oliver Huntemann
6508	Damn Yankees
2186	Head
12753036	Birds in Row
362637	Whitley
59534	Cyantific
138605	Amanda Palmer & The Grand Theft Orchestra
11223184	Sky Sailing
475281	Sonny
8338	Atlantic Starr
53395	Don Omar
13795476	Flo Rida feat. David Guetta
1437	Average White Band
24733	SuidAkrA
8350	Donell Jones
153761	Bros
24656034	idenline
14360741	Lemâitre
14350502	J Roddy Walston And The Business
125096	Paul Wall
10268	Fozzy
151722	Lawson
90283	John Legend & The Roots
24428717	Sexion d'Assaut
174	Iris DeMent
14511	Charles Trenet
10416	Samy Deluxe
35528	Evergreen Terrace
414750	We Are the Ocean
227511	Daniel Steinberg
16572	Daniel Bedingfield
20170	Mel & Kim
13992127	Cherub
24621253	MRK1
12486	Fischer-Z
8391	No Mercy
260297	Sneaky Sound System
13990091	Chris Medina
4302	The Tiger Lillies
7339	Babyface
10451	Silk
479444	Joris Delacroix
340181	ZZT
8406	Soda Stereo
18829	The Kingston Trio
16602	Richie Spice
104790	Ebo Taylor
4316	Mad Professor
63709	Tiken Jah Fakoly
13867235	2:54
274661	The Teenagers
24422631	譚盾
375164	Peverelist
501996	Trombone Shorty
16082	Dark Dark Dark
8430	Robert Plant & Alison Krauss
13150447	Lucenzo
415933	Tribal Seeds
23399	S.O.S. Band
268535	Swanky Tunes
14036	Koko Taylor
69882	Cass McCombs
8446	Dillinja
248533	Redshape
256	Lone
24960	Charles Aznavour
26883	Boy Meets Girl
14605	Don Drummond
73999	Loco Dice
196882	Dorian Concept
37141	N.O.R.E.
133399	Labelle
6425	Teena Marie
291098	Lightning Dust
94793	Ляпис Трубецкой
4380	Freddie McGregor
114978	Katzenjammer Kabarett
24870	Romeo Void
13885735	Sol Romero Campbell
434472	The Jim Jones Revue
536875	Caitlin Rose
354604	Stanfour
14639	Santa Esmeralda
270640	K.I.Z.
6536	Guy Clark
57653	Lumsk
272697	Ripperton
217402	Tryo
6463	Bob Seger & The Silver Bullet Band
481600	f(x)
24394464	LeToya
26947	Maxwell
16710	Adriana Caselotti
8519	Albert Hammond
26232426	Linkin Park x Steve Aoki
268620	Philadelphia Orchestra
