key	value
12289	Glenn Lewis
65540	Bebo Valdés
13836294	The Knife in Collaboration with Mt. Sims and Planningtorock
10247	Atjazz
202760	Animal Джаz
8204	Travis Tritt
92173	Trampled By Turtles
196624	Djuma Soundsystem
13802840	Scotty McCreery
501778	Maria Gadú
518166	Class Actress
516120	Free Energy
25607172	Bonn Classical Philharmonic
22555	Richie Kotzen
268317	Flosstradamus
47135	The Peter Malick Group
428067	Boy Crisis
13793316	The Haxan Cloak
26794022	F.O.O.L
8231	J.J. Cale & Eric Clapton
229416	Jane Air
13989929	Griz
7	Robert Miles
44	Sleater-Kinney
30765	The Time
8238	Ralph Stanley
12519472	Big Time Rush
8241	The Fairfield Four
82935	Masta Killa
24743262	Tomislav Bavnov
25468985	Broods
6203	Mark Kozelek
7178	Goodie Mob
7188	Dog Eat Dog
135861	Morning Runner
4160	Roger Whittaker
87051	Secos & Molhados
68	Bing Crosby & The Andrews Sisters
69	Frank Sinatra & Tommy Dorsey
13848649	Full of Hell
13885519	Secrets
13766732	Feist and Ben Gibbard
6223	Ray Price
13885795	James
86097	Anthony David
37219	Vera Lynn
12374	Duane Allman
16471	Luiz Gonzaga
2136	Swirlies
2404	Francis Lai
16474	Bjørn Eidsvåg
120923	One Be Lo
135260	Peter Heppner
254045	Marsmobil
24462352	Thåström
98	Wilson Phillips
10340	Steve Lawrence
391269	Eastwest Rockers
13850726	Heavenly Beat
17	Tom Waits
13961320	Morgan Page feat. Lissie
12393	Steel Pulse
28264557	Elefant
25182319	Das Ich
14342256	Gorgon City
24693	Mavis Staples
10601	Hayden
82041	ДДТ
8051	Paper Lace
13279357	Andhim
419970	Rodriguez Jr.
8324	General Public
333957	Menahan Street Band
27578502	Conner Youngblood
194695	Patrick Stump
24473738	Original London Cast
20620	Reagan Youth
51342	Altaria
14305304	Kill Paris
447709	Passafire
20668	Hundred Reasons
413846	Pompeya
27673	The Vaughan Brothers
154	Veracocha
362652	The SteelDrivers
12849562	Vaski
11973	Ricardo Montaner
12448	Gianna Nannini
56688	Balzac
39074	Loikaemie
47267	Robert Randolph & The Family Band
420004	The Deep Dark Woods
8357	Tyrese
27914408	The King's Singers
169	Daniel Lanois
32938	Natalia Lafourcade
11225259	Баста
18802	Jerry Butler
162845	Housemeister
504520	Sidewalk Prophets
14514	Gustavo Cerati
11294	Thunderclap Newman
471225	Brown Eyed Girls
23883	David Darling
188	Taco
14026	Vicky Leandros
2238	Savoy Brown
191	Yves Montand
10432	Betty Carter
13867201	Moa Lignell
13836482	Norlie & KKV
86212	Dimlite
