key	value
350209	Yoav
4098	The Toasters
18140	下村陽子
16393	Friends
124942	Dub Fx
316760	deadmau5 & Kaskade
12963858	DJ Rashad
13877267	Swedish House Mafia vs. Knife Party
81940	Король и Шут
30741	The Chords
8217	Tones on Tail
16410	Lindisfarne
8223	The Soggy Bottom Boys
165920	Marmaduke Duke
383664	Still Corners
79907	Secret Machines
63524	Nintendo
8231	J.J. Cale
419881	CFCF
13889579	Mutual Benefit
24780844	Sex Bob-Omb
43057	Elektryczne Gitary
14363315	MMOTHS
386398	Austrian Death Machine
321593	Dash Berlin
2110	The Clancy Brothers And Tommy Makem
507968	Egyptian Hip Hop
282691	Crocodiles
38981	The Warlocks
40289	Peter Green
208969	Emily Loizeau
8268	The Bar-Kays
28750	Sanctus Real
168015	Dan Auerbach
14365289	Kim Cesarion
239971	Laura Gibson
12373	The Greenhornes
29069398	Danger
13598807	Lil B
89	Gloria Estefan
32859	Richard Bona
58042	Seu Jorge
135263	Anja Schneider
34913	French Kicks
103	MC Lyte
471616	Teebs
11051	Lila Downs
39018	Hildegard Knef
508011	Nomy
483436	DeWolff
63597	Mulatu Astatke
129137	Timo Räisänen
8306	Charlie Rich
8307	Paul Revere & The Raiders
311415	Fauxliage
13822072	Seether (feat. Amy Lee)
13893753	Labyrinth Ear
8319	Nick Cave & Warren Ellis
522372	Shlohmo
1729	Robin Trower
26353800	GZA/Genius
14473	The Pioneers
13026	Sandy Denny
26679436	Gaba Kulka
6793	Supreme Beings Of Leisure
475281	Sonny & Cher
221330	Supermode
107203	Papercuts
30868	Chester Bennington
186734	Gyptian
59543	Eamon
233626	Todd Terje
14020766	Mela Koteluk
159	Kirsty MacColl
49313	Matt Wertz
12450	Fairground Attraction
47333	Ambulance Ltd
164	Áine Minogue
165	Bryan Ferry
21146	Lazlo Bane
8363	Capleton
16557	Lincoln Brewster
178	Peter Cetera
8372	Godhead
833	Billy Bragg & Wilco
10430	Abbey Lincoln
20672	Chad & Jeremy
12482	Ska-P
148171	Morandi
86213	Siriusmo
18631	Kim Weston
13835604	High Highs
96457	Pink Mountaintops
8567	Noel Gallagher
12828876	Lord Huron
6349	Mark Schultz
524494	The Dynamics
407928	Weekend
2260	Eric Burdon
7545	Lloyd Cole
280792	Lydia
24793	Starlight Mints
25123035	Martin O'Donnell & Michael Salvatori
