key	value
141312	Carrie Underwood
228352	Skye
10242	Cantoma
12291	Martha Reeves & The Vandellas
12292	Edwin Starr
14341	Gladys Knight & The Pips
383660	Allo Darlin'
14348	The McCoys
45741	Josh Kelley
6161	Princess Superstar
184338	Glorior Belli
24467481	Dan Le Sac vs Scroobius Pip
13895707	Trust
8220	Atrocity
13983651	Metz
28058732	Bola
71715	S.O.D.
24612	The Easybeats
144390	Anders Ilar
14376	The Tossers
55337	Keep of Kalessin
7230	Usher
118831	Karl Jenkins
13989937	The 1975
13422644	The Soft Moon
14393	Cynic
75836	Trivium
22589	Kelly Rowland
22590	Gorgoroth
35509	The Darkness
106560	The Sleeping
352	Pet Shop Boys
153667	Get Cape. Wear Cape. Fly
46389	High Contrast
13852743	I am waiting for you last summer
27783	Funki Porcini
278603	The Moon and the Nightspirit
14014541	Florida Georgia Line
290896	Example
6228	Running Wild
14422	Cock Sparrer
59480	Akercocke
4188	The Troggs
61534	Ayria
20576	GG Allin
12385	Chris Botti
112315	More Than A Thousand
6244	The Dirtbombs
64870	The Supremes
102	Jay-Z & Kanye West
264299	Inhale Exhale
8302	Kid Loco
13301871	Modestep
92272	The Lonely Island
164200	Bring Me the Horizon
532594	When Saints Go Machine
45171	Krisiun
117	Pink
18554	The Only Ones
2173	The Brian Jonestown Massacre
102526	Husky Rescue
127	Goldfinger
153728	Juliette Gréco
129	Snap!
131	Carly Simon
28807	Murcof
204939	Threat Signal
307341	The Hoosiers
264334	The Daysleepers
9581	I Monster
2194	Poison Idea
13771021	Death Grips
53273	David Lynch
155	Soul Coughing
156	Chris Cornell
360608	Left Lane Cruiser
24447661	John Barry Orchestra
408603	Zomby
29534	Asura
8359	Washington
12992681	Zedd
17095	Loudon Wainwright III
14338887	MØ
24756	Nação Zumbi
713	EMF
530617	Emika
346299	Black Tide
91661	Timbaland
141501	De Jeugd van Tegenwoordig
10431	Shirley Horn
13676736	Alex Winston
225474	11
4291	Novembers Doom
340164	Followed by Ghosts
6341	The Residents
116934	Blue Scholars
12487	Cockney Rejects
123080	DJ Earworm
184526	John Mayer Trio
24762061	Turbonegro
75991	Koan
12504	µ-Ziq
440539	Bingo Players
8412	Marc Antoine
11376862	Delilah
57568	Bad Meets Evil
379	Manfred Mann
233	Veruca Salt
47339	Melechesh
383698	Hall & Oates
31936751	Antibalas Afrobeat Orchestra
31309864	d'Eon
182514	Corinne Bailey Rae
35063	will.i.am
8440	Richard Elliot
24852729	Relaxing Piano Music Consort
86267	Omnia
4350	Luther Vandross
404181	I Set My Friends on Fire
76032	Xasthur
26881	Stephen Lynch
258	No Doubt
31105	Deepchord
8456	Tom Zé
450263	Pixie Lott
16653	Leoš Janáček
28942	Unto Ashes
24451345	BWO
241939	Plan B
7214	Hybrid
22806	Liars
98583	The Dead Texan
538907	Angels & Airwaves
10524	Jedi Mind Tricks
6429	Dark Sanctuary
301342	Scouting for Girls
519216	Orchid
323875	Born of Osiris
18319	The Birthday Party
296	MxPx
35113	Mortal Love
6442	Throbbing Gristle
299	Reel Big Fish
13883692	Emma Louise
80173	Bluetech
473390	The Crimson Armada
299311	Nocturnal Depression
10544	Galaxie 500
8739	Television
2354	Patti Page
2355	Carmen McRae
2356	Chet Baker
86750	Funeral
115000	Dominik Eulberg
45791	Steven Halpern
26940	The Korgis
260490	Booty Luv
47422	Bell X1
52277	SCSI-9
84288	P. Diddy
2370	Liza Minnelli
131395	Neaera
10565	Blaze
13875922	La Femme
12616	A.R. Rahman
16713	Ike & Tina Turner
332	The Romantics
10854	Gang Starr
24910	Samsas Traum
139812	Sophie Milman
12625	Rage
24557906	Herb Alpert and the Tijuana Brass
26966	Demon Hunter
3129	Karrin Allyson
8536	Emma Shapplin
4441	The Dubliners
102746	Persefone
27423069	Алиса
127328	Despised Icon
1171	Robyn
6501	Carpenters
67944	U.D.O.
16745	Heaven Shall Burn
500076	Les Discrets
365	Spandau Ballet
43069	Dead Meadow
12689777	Raphael Gualazzi
395637	Unsun
279273	The Enemy
31099	Trail of Tears
135215	Sway
385	The Proclaimers
44749	Rosa Passos
13192939	Paris
278916	N-Dubz
8581	Secret Service
35206	Ive Mendes
86407	Kaya Project
24420745	Kate Miller-Heidke
394	Scooter
25018764	Manuel de Falla
7234	David Allan Coe
18830	Amerie
1377	Fugazi
338323	The Maine
11377046	Katy B
412	The Future Sound of London
8605	Helen Reddy
59810	Just Jack
6563	Kenny G
111013	Trobar de Morte
10663	Rascal Flatts
425	Ash
72106	Absynthe Minded
