key	value
13778944	20811063
13778944	13851280
13778944	15618592
24578	14205971
24578	20799129
24578	10689710
415747	16698113
415747	16728265
415747	16735407
438276	10927270
438276	17402124
438276	16090358
316758	10886144
316758	22142861
316758	13788497
13889542	20850499
13889542	16165381
13889542	14308135
10	10808246
10	13807958
10	10736242
12299	10440455
12299	13824831
12299	19722265
47116	10460216
47116	10986025
47116	10986015
28686	10663234
28686	23029150
28686	16509418
15021	13907813
15021	10462646
15021	10390493
90135	20472547
90135	20612623
90135	20612614
10264	10474871
10264	10347737
10264	15744382
9889	10541943
9889	10302072
9889	10483935
8218	10436926
8218	12771724
8218	12772730
20507	10577088
20507	10336108
20507	10689880
45084	10970377
45084	10392157
45084	19134518
288797	10441195
288797	22527719
288797	22527718
1029	10567917
1029	10583795
1029	10530366
286753	10861665
286753	14331393
286753	17983947
8227	10577790
8227	10292636
8227	14296399
43044	10340417
43044	10528191
43044	10987148
8230	10403567
8230	10294170
8230	10891161
12977	11319007
12977	20447352
12977	13791200
28713	10381640
28713	10607259
28713	10607271
24438826	20872424
24438826	20483573
24438826	22395149
81963	14231553
81963	12701313
81963	19613840
28716	10398191
28716	10345964
28716	10319251
286386	10727545
286386	18186966
286386	10896067
6191	10678079
6191	10313800
6191	10275648
10288	14308807
10288	10452112
10288	10508202
6193	10536499
6193	20715025
6193	10551873
491570	20395040
491570	21878880
491570	17021207
2100	10561051
2100	13756924
2100	13757301
108526	20366741
108526	10704940
108526	10675131
57	14268562
57	12833183
57	10439912
2111	12907457
2111	10379343
2111	10290549
13957168	10748237
13957168	13824220
13957168	10320354
12358	10462181
12358	10468342
12358	19561447
34887	10461648
34887	10627952
34887	10627953
16457	10382046
16457	10416812
16457	10918629
34891	20768304
34891	10461255
34891	10650300
76	10537811
76	13836983
76	21515958
78	13835831
78	10599835
78	10325157
313424	20516493
313424	15386775
313424	10844081
83	10542675
83	10326622
83	16206258
32854	23077800
32854	23077799
32854	10715517
546907	11079691
546907	17203137
546907	13905201
93	10469758
93	20774239
93	10342214
530527	11058466
530527	18336316
530527	13892521
7184	10323514
7184	10624105
7184	10278089
14012	12324134
14012	13890220
14012	10454318
10347	10321440
10347	10319107
10347	10341466
9917	10673835
9917	10503474
9917	10587104
10353	10935984
10353	10396137
10353	13854357
33811	13676613
33811	16313491
33811	21164171
329844	21704445
329844	16645105
329844	10781917
397430	10904261
397430	14338081
397430	16190639
391287	10941582
391287	15421306
391287	10976912
10363	10296000
10363	14279824
10363	10419298
8316	10435805
8316	12298283
8316	10786696
512125	20787809
512125	21827741
512125	12697130
