key	value
13778944	Tedeschi Trucks Band
24578	Andrés Calamaro
415747	Dinka
438276	Cheap Girls
11606	Sinergy
13889542	Majical Cloudz
10	Giant Sand
12299	Alain Bashung
47116	Bark Psychosis
28686	Kyoto Jazz Massive
15021	MC Chris
13094	Rita Lee
90135	椎名林檎
6803	Foetus
8218	Dazz Band
20507	John Carpenter
158351	Ivy
288797	Polaris
11269	Kitchens Of Distinction
286753	pg.lost
8227	John Scofield
43044	Akurat
8230	Dion
2737	Earth Crisis
28713	Jo Stafford
24438826	Studio Allstars
81963	Arthur Rubinstein
28716	Erin Mckeown
14002	Polvo
6191	Bud Powell
10288	The Divine Comedy
6193	Coleman Hawkins
491570	Fashawn
2100	Psychic TV
57	Madness
33895	Fairyland
2111	Gheorghe Zamfir
12358	Mario Lanza
34887	Vashti Bunyan
16457	Giovanni Pierluigi da Palestrina
34891	Loose Ends
76	New Edition
78	Dan Fogelberg
313424	Wonder Girls
83	Wang Chung
15824	Scott Weiland
32854	Flevans
14185	Richie Sambora
546907	Sóley
93	Richard Marx
530527	oOoOO
13896720	Willis Earl Beal
24452796	Hillsong
10347	Jakatta
347837	Breathe Owl Breathe
10353	The Chi-Lites
281619	Kari Jobe
329844	Moriarty
397430	Marcelo Camelo
391287	Breakbot
10363	Roger Sanchez
8316	Seven Mary Three
512125	Robot Koch
10366	Paul Weller
41087	Philter
419969	The Soft Pack
16518	God Forbid
10375	Medicine
1388	Chantal Kreviazuk
10381	Two Lone Swordsmen
10264	Happy Mondays
14385298	Palms
147	Cygnus X
148	Propellerheads
13494422	Kitten
8345	Plump DJs
288923	Grand Archives
29261	Piero Piccioni
18595	Nina Nastasia
31057	The Abyssinians
252070	Natalie Walker
461169	Classixx
166057	Jason Isbell
55466	Sleeping At Last
300278	Jordin Sparks
14194864	MellowHype
177	Oingo Boingo
24756	Chico Science & Nação Zumbi
59576	Noel Rosa
13967548	TNGHT
45245	Cartola
24766	Alice Russell
192	Edwin McCain
24719553	Itzhak Perlman
98498	edIT
551627	How to Dress Well
3029	Labyrinth
303818	Everything Is Made in China
22729	Perfect
202	Theme
155852	The Cinematics
8398	Salt Tank
3789	Fu Manchu
299043	Gatekeeper
159956	Tocadisco
143575	Yo Gotti
69668	Joakim
32990	Los Planetas
43232	King Geedorah
383202	Exxasens
229	Berlin
13612753	Earl Sweatshirt
28905	João Bosco
88299	Charlie Clouser
47342	梅林茂
4336	John Fahey
82161	Japanther
121074	DeBarge
398134	Miami Horror
6389	Iron Butterfly
6392	Hum
362745	Have a Nice Life
11306	Hillsong Live
24451328	Disney
8451	O Rappa
8452	Paulinho Da Viola
10502	Little Milton
14123273	Mélanie Laurent
30986	Jakob
8459	Broadcast
20672	Chad Kroeger
24847	Beth Carvalho
16658	Mississippi Fred McDowell
55571	The Cat Empire
24852	Busted
238461	Ras G
10522	The Mills Brothers
13048091	Pathfinder
22813	Dry Kill Logic
287	Everclear
26672	Diecast
14338339	Ta-ku
416036	Supersubmarina
6437	Crass
8490	Brian Eno & David Byrne
27679019	I'm from Barcelona
6445	dEUS
252210	Henry Jackman
310	Whigfield
8503	ADULT.
8504	Damon Albarn
16697	Carmen Twillie
33083	Slo Burn
24635711	SOJA
284384	Black Light Burns
11659	The Trammps
160649	Bournemouth Symphony Orchestra
16712	Phil Harris
330	Afrika Bambaataa
13988919	Kakkmaddafakka
2383	Georges Delerue
67920	Warren Haynes
18769	Origa
127715	Mombojó
45399	Wreckx-N-Effect
6488	All-4-One
10585	David Lanz
31068	The Good, the Bad & the Queen
7226	The Jon Spencer Blues Explosion
2399	Goblin
37216	Yoko Ono
13912419	K-Ci & JoJo
13791623	Adrenaline Mob
141669	Amiina
6545	Monica
25319	Otis Taylor
12655	Jim Brickman
