key	value
279330	Future of the Left
8196	Clarence "Frogman" Henry
14341	Gladys Knight
495623	Freddie Gibbs
11	Eric Serra
1026	Crowded House
15	Art of Noise
17	Tom Waits
20498	Elvenking
24475667	Sergei Rachmaninoff
139950	Emily Haines & The Soft Skeleton
94231	Ray LaMontagne
12312	Télépopmusik
67609	Death From Above 1979
30746	Sascha Funke
5791	The Cinematic Orchestra
11935	Sweet
8221	Maria Callas
75357	Batmobile
7025	Buddy Holly & The Crickets
6178	No Fun At All
35	Beth Orton
264230	Maps
39	Elliott Smith
135208	Wax Tailor
41	Le Tigre
35748	Syntax
47111	Animal Collective
13900808	Zulu Winter
351923	Brodinski
157748	Bun B
243765	Danity Kane
56	Cypress Hill
2105	Frankie Laine
199007	Milow
24471612	Traditional
1105	*NSYNC
24431627	Eloy
4164	Conway Twitty
292935	Vampire Weekend
72	Mariah Carey
456777	Bonaparte
16458	Tiga
4171	Mephisto Walz
24654	Wir sind Helden
10253	Gazebo
24586320	Kitaro
387153	Kid Cudi
84	Annie Lennox
85	Billy Joel
38998	Demented Are Go!
13963351	Terence Trent D'Arby
7395	Brooklyn Bounce
51289	The Evens
9823	Minutemen
91	Phil Collins
6238	Bright Eyes
95	Bryan Adams
99	2Pac
256100	Crystal Castles
101	Ice Cube
102	Jay-Z
10343	Guy Mitchell
475240	Bomba Estéreo
24451179	Tina Dico
13932652	Deafheaven
106606	Feist
37565	John B
113	Kansas
116	Pearl Jam
118	Queen + Paul Rodgers
8312	Burial
123	Sheryl Crow
124	Sinéad O'Connor
381056	Analogik
13879426	Disclosure
53383	Idina Menzel
136	Elton John
10379	Les Savy Fav
140	The Chemical Brothers
94351	Forever Slave
145	Def Leppard
13885588	Slow Magic
71829	Horrorpops
157	Bruce Cockburn
162	Blind Melon
307367	Atlas Sound
171	Erasure
20653	The Used
175	k.d. lang
176	Martin L. Gore
179	Recoil
19486	Tegan and Sara
26807	Little Anthony & the Imperials
8376	Book Of Love
270523	Mother Mother
4284	Ian Gillan
189	The Ventures
282814	Sophie Hunger
12480	Dagda
6894	Al Jarreau
194	Whitesnake
195	Yes
8388	Jimmy Eat World
26482885	2 Unlimited
26823	Zoot Woman
200	House of Pain
4298	Swollen Members
421239	Soap&Skin
6354	Vanessa-Mae
211	OFF!
124281	Maxïmo Park
6360	Current 93
537525	Ed Sheeran
11221211	Christina Perri
6364	PJ Harvey
8413	Midge Ure
6370	Split Enz
102627	Annett Louisan
6375	Diana Krall
8424	Dianne Reeves
78058	Sara Bareilles
335570	Fuck Buttons
11881	Heinz Rudolf Kunze
108787	Calvin Harris
296064	Roger Miller
245	The Kinks
6391	Meat Loaf
13865209	Electric Guest
64453	The Flashbulb
45307	Murder by Death
4348	Special EFX
24428797	Gus Gus
14307584	Tom Odell
358662	Chinawoman
8458	Shantel
35084	Dave Gahan
37135	Joe Budden
6418	Duane Eddy
25003391	Camille Saint-Saëns
311573	Lynx
8471	Andreas Vollenweider
7829	Blue System
6427	Ugly Kid Joe
12572	Rosenstolz
397599	Lenka
10528	Gossip
123171	The Firm
293	Kurupt
94506	IAMX
300	Rob Zombie
16685	The Cooper Temple Clause
459055	fun.
1416	Good Charlotte
13022	Patty Griffin
313	Fragma
414010	Tame Impala
13023	The Vines
4412	Clannad
6463	Bob Seger
10560	India.Arie
184801	Macklemore & Ryan Lewis
186692	Calle 13
7222	Mercury Rev
8518	Harold Melvin & The Blue Notes
49479	Lizz Wright
6473	Klaus Schulze
18762	Maria Mena
31051	Frank Klepacki
190800	Portugal. The Man
346168	Wye Oak
8531	Blumentopf
8533	Phoenix
133462	Chris Brown
7225	Tortoise
116353	Juliette and the Licks
13965657	MS MR
6492	Chaka Khan
6493	Brian Wilson
239966	Horse Feathers
504159	Broken Bells
8546	Thurston Moore
92515	Mala Rodríguez
164196	Roger Shah
360	Donna Summer
6505	Christopher Cross
8554	Infected Mushroom
10603	Weather Report
58933	Missy Higgins
22894	WC
369	Jewel
8564	Smog
328053	Lorn
375	John Lennon
6520	Wolfgang Petry
41342	Fila Brazillia
348543	Mat Zo
340352	Lykke Li
490	Basement Jaxx
388	The Cardigans
8598	Lobo
24966	Scandinavian Music Group
33159	The Clovers
16780	The Diamonds
16783	Larry Williams
400	Seal
13617560	Walk the Moon
25262	Udo Lindenberg
10645	Wojciech Kilar
10646	Sick of It All
408	Public Enemy
411	The Crystal Method
6556	Black Flag
413	Tricky
6559	Misfits
221600	Reverend and the Makers
469744	Edward Sharpe & The Magnetic Zeros
6562	Powderfinger
133531	Maria Taylor
182694	Nicolas Repac
1446	Swans
7239	Level 42
4174	Gene Vincent & His Blue Caps
429	Arrested Development
16814	Vic Chesnutt
450	Asian Dub Foundation
293297	Savage
12964278	No Joy
24613304	Natalie Grant
12849595	Kendrick Lamar
14780	OK Go
6589	Molotov
10686	Missy Elliott
348608	Kimbra
377282	Ladyhawke
452	Bee Gees
57797	Laura Veirs
375238	Wale
16839	Bang Gang
54068	Menomena
449612	Band of Skulls
295370	Mavado
92620	YACHT
530893	Yellow Ostrich
11341	The Champs
6609	Los Lobos
147923	Baroness
468	Orbital
94677	Crazy Lixx
264666	The Gaslight Anthem
475	Hooverphonic
25052	Jeff Lynne
477	Björk
13841488	Banks
440804	Drake
12773	Tomahawk
35303	Easy Star All-Stars
6634	The Delgados
18926	Khia
18927	Beyoncé
10736	Die Prinzen
499	Manu Chao
504	Barenaked Ladies
438356	Jason Isbell and The 400 Unit
23037	The Jackson 5
142080	Pretty Ricky
514	Heather Nova
2817	Autograph
176215	Calabrese
393740	Melissa Horn
12815	Silver Jews
21008	Jon Hopkins
191238	Poison
6915	Switchfoot
6677	P!nk
8727	Silly
536	Mazzy Star
290463	Susanne Sundfør
207392	The American Dollar
547	Culture Club
35364	Apparat
6693	Donald Fagen
8394	Beats International
387624	Beats Antique
224543	WINGS
27181	Yellowcard
6703	Ali Farka Touré
776	Yello
562	Wilco
11699	Westside Connection
10804	Montgomery Gentry
6709	Blonde Redhead
37430	Clueso
13783608	Alex Clare
6239	Cursive
25354	Cilla Black
574	Aimee Mann
576	Dar Williams
24445288	Absolute Beginner
580	Joni Mitchell
13797957	YG
12870	Mandalay
315976	A Place to Bury Strangers
19018	Townes Van Zandt
13899191	Walk Off the Earth
2637	Neil Sedaka
591	Cassius
23120	Hector
10680	Jazzanova
451154	Everything Everything
292963	Johnny Foreigner
29268	The Del-Vikings
13867791	San Cisco
264796	Sally Shapiro
12893	Green Velvet
608	Natalie Merchant
21093	The Decemberists
123498	Goldmund
619	Peter Gabriel
13115837	Big K.R.I.T.
12392	Danger Danger
628	Nitzer Ebb
250486	Kate Nash
6778	Peter Murphy
12927	Orishas
201344	Skin
527808	Bahamas
1368	Anouk
2691	Tiger Army
644	Tangerine Dream
43656	Barbara Mason
29321	The Crests
12925580	Mac Miller
8845	De/Vision
88338	Dirty Projectors
110	Alice Cooper
2710	Zbigniew Preisner
15000	Downhere
328132	Laura Marling
13787802	Leaves' Eyes
13969519	Ke$ha
668	Tracy Chapman
669	Lyle Lovett
184990	Mono Inc.
17057	Queen Latifah
14346914	Manian
158373	Bassnectar
74410	Max Richter
479918	Beach Fossils
687	Refused
6833	Die Ärzte
8886	Cusco
695	Elvis Costello
698	Grateful Dead
41659	Sia
10940	Neu!
117437	Trey Songz
702	Elvis Presley
53951	Christophe Beck
28590359	Wanda Jackson
24466113	Angus
379587	Japandroids
708	Jesus Jones
23329	Karunesh
175150	The Feeling
117453	Anna Nalick
9503	The Five Satins
803	Cat Stevens
6868	MC Solaar
27351	dredg
461530	Wynter Gordon
36577	Marianne Rosenberg
10973	Ziggy Marley
734	Howard Jones
805	The Ink Spots
20824	Stars
6884	Thomas Dolby
465	Filter
14365416	SOHN
8938	Sizzla
129831	Sabaton
17134	Chris Tomlin
752	Herbie Hancock
13750056	!!!
11377394	Hoodie Allen
756	Linda Ronstadt
320245	Nico Vega
33526	Aereogramme
6612	Tocotronic
436988	Gold Panda
448981	Little Comets
768	Joe Walsh
128	Lauryn Hill
22871	Lisa Lynne
14314243	HAIM
80646	Asobi Seksu
13966087	Faul & Wad Ad vs. Pnau
6920	Al Stewart
6921	Ricky Nelson
778	The Sisters of Mercy
275213	Seasick Steve
783	Chris Rice
51985	Velvet Revolver
23342	Flunk
107288	Ramin Djawadi
11035	Joy Williams
367389	Titus Andronicus
7301	Mark Lanegan
13839137	Alabama Shakes
802	Bad Company
363299	Scars on Broadway
