key	value
13916160	Krewella
13846528	Loreen
395267	Camo & Krooked
8198	Wilson Pickett
12989441	Tyler, the Creator
16395	Luke Vibert
90124	Logistics
14332930	Zara Larsson
213677	Amenra
10262	Jean-Jacques Perrey
23	The Stone Roses
14376985	All
13901850	For My Pain...
14352411	Pianos Become the Teeth
376860	For Today
450590	Theophilus London
22559	dead prez
112673	Gabriel Ananda
534565	The Glitch Mob
471388	Colt Ford
91143	The Loved Ones
67629	Martin Landsky
691	Voodoo Glow Skulls
323636	We the Kings
403806	The Bloody Beetroots
6198	Tommy Flanagan
3081	Candlemass
100410	He Is Legend
351	Paul Hardcastle
471529	Borgore
11957	Alcazar
66	The Bangles
4165	Robert Johnson
13414470	Get Scared
71	Harry Connick, Jr.
13916172	Pegboard Nerds
12983	Orange Goblin
16460	Julie London
7181	Rites of Spring
13230161	Lights
462931	Cavo
2133	Mission of Burma
6230	Goatsnake
8207	John Mayall
8285	Love
127071	Booka Shade
13592678	Skylar Grey
617	Stereolab
104	Method Man & Redman
67690	Combichrist
107	The Sugarhill Gang
10349	Black Moon
25989230	Hank Williams Jr.
389232	The War on Drugs
555368	I Break Horses
59506	Distemper
24393847	Nervo
172154	Matias Aguayo
6270	Souls of Mischief
30059	London Philharmonic Orchestra
6752	U96
196741	Secondhand Serenade
7873	Parliament
14474	Boris Gardiner
8331	Strung Out
55437	Grand Magus
143504	Unter Null
55441	Jonny Greenwood
266388	Woe Is Me
150	Alice Deejay
110617	Peter Bjorn and John
147609	Jonathan Coulton
24457370	G-Eazy
10399	Proem
104608	The Bravery
137378	Grandmaster Flash
127140	Johnossi
77995	Vanilla Sky
211118	A Loss for Words
45231	Group Home
10418	Jay Dee
13630836	Structures
12477	Emil Bulls
90305	Circa Survive
2244	At the Drive-In
198	Biz Markie
329929	Svartsot
194762	Serenity
39115	Sweet Coffee
444702	Oceano
528593	Doctor P
174290	Hermitude
4311	Zion Train
7304	Finger Eleven
202447	Claude VonStroke
43228	Dab
499934	Gonjasufi
223	Chumbawamba
344290	Sparks The Rescue
20709	DJ Fresh
211174	Dawn of Ashes
232	Sublime
474581	Within the Ruins
506091	The Algorithm
475372	Gramatik
6382	Monolake
35061	Ras Kass
74793	Nu:Tone
73976	Deathstars
475281	Skrillex & Damian "Jr. Gong" Marley
203003	Set Your Goals
6397	Little Feat
255	Fenix TX
65793	Black Strobe
26882	Authority Zero
6403	Traffic
184580	Rosetta
13889804	Counterparts
13816078	Zeds Dead
6071	Solomon Burke
61713	Pantheist
485650	Oceana
491797	Bury Tomorrow
14614	Something Corporate
13787415	Falling in Reverse
13898008	Heart in Hand
13803801	Nause
78106	Jesse McCartney
538907	How to Destroy Angels
286	EVE 6
