Sorted by K values
""
""
1 neighbors. 
,MAP,MAR,F1 score
1,1.3400000000000007,0.05569240052055345,0.10694020640895885
10,1.276000000000001,0.4380658651412194,0.652217695116568
100,1.1941999999999804,4.046117391565721,1.8441147846443848
20,1.2389999999999899,0.842717158470947,1.003139696568987
200,1.117099999999976,7.3296178786236466,1.9387213471238853
3,1.273333333333333,0.16889828438087054,0.29823755463887314
30,1.1646666666666678,1.2083004609157248,1.1860823976775914
300,1.0513999999999828,10.194005685353764,1.9061966953384513
5,1.2440000000000009,0.2553694770863481,0.423750962454896
50,1.1387999999999907,1.9183972234364435,1.4291984444456158
7,1.2400000000000038,0.3259986342236543,0.5162690408574121
