Sorted by K values
""
""
1 neighbors. 
,MAP,MAR,F1 score
1,3.860000000000003,0.2127156928318168,0.40321133919362906
10,3.8139999999998766,1.9688118864432522,2.5970232759941836
100,2.7545999999998783,12.727529019032502,4.528996159730563
20,3.600999999999847,3.788471160589709,3.6923575051058286
200,2.4231999999999725,21.267686004254944,4.350690532743611
3,3.886666666666698,0.631711911564393,1.0867852647153966
30,3.5053333333332173,5.444155201756934,4.264730576665468
5,3.940000000000003,1.0629011768420455,1.674160847367016
50,3.2079999999998843,7.894691511621666,4.562167712715724
7,3.8142857142856488,1.4000145464909137,2.0482347457593866
""
2 neighbors. 
,MAP,MAR,F1 score
1,2.3000000000000016,0.12140068121772066,0.23062813929691073
10,2.4119999999999724,1.1087139720906916,1.5191339721895774
100,2.3013999999999104,9.911409042858338,3.735441484622588
20,2.469999999999909,2.2564338127200814,2.358391860865177
200,2.1529999999999347,18.076703140516436,3.8477224891731434
3,2.526666666666669,0.39041718629522537,0.67632892328709
30,2.4519999999999462,3.275627938222797,2.8045954769242103
5,2.3960000000000017,0.6297097130263791,0.9973094681988419
50,2.3983999999999224,5.289417185673584,3.3003225419460125
7,2.3914285714285706,0.7944438350431414,1.192675313460846
""
5 neighbors. 
,MAP,MAR,F1 score
1,1.520000000000001,0.051912234842196626,0.1003956775844553
10,1.5340000000000011,0.6162335545977939,0.8792554378399484
100,1.495799999999947,5.548303873186149,2.356340304720062
20,1.503999999999963,1.1583732809423057,1.3087521776214541
200,1.4732999999999383,10.855518093042281,2.5944798091399264
3,1.4999999999999973,0.1899019480710825,0.33712360936889324
30,1.5326666666666564,1.6943562462071338,1.6094607383543427
5,1.5200000000000011,0.3347680775264586,0.548691218061961
50,1.535999999999962,2.8550411807284486,1.9974047489444513
7,1.5771428571428665,0.4561412406253658,0.7076235930731047
